iso_a2,latitude,longitude,accuracy
FJ,-17.31630942638265,163.85316464458234,100
TZ,-6.257732428506092,34.75298985475595,100
EH,24.291172960208623,-12.13783111160779,100
CA,61.46907614534896,-98.14238137209708,100
US,45.70562800215178,-112.5994359115045,100
KZ,48.19166075218232,67.2846109811001,100
UZ,41.748602664652246,63.20363952823182,100
PG,-6.451644514630347,145.31757462782247,100
ID,-2.221737936520542,117.42340756227364,100
AR,-35.4468214894951,-65.17536077114173,100
CL,-39.04701430994844,-71.5206439451643,100
CD,-2.8502757110956667,23.582955831479083,100
SO,4.752347756504953,45.72670076723565,100
KE,0.5959662521769523,37.791555286661385,100
SD,15.990585003116717,29.862604012257922,100
TD,15.328867399839682,18.581329525332894,100
HT,18.900700691843337,-72.65801330535574,100
DO,18.884487087982258,-70.46235845697531,100
RU,61.961663494923,96.80331818290134,100
BS,25.515491725336624,-77.92997080393516,100
FK,-51.71322176551185,-59.42097279311021,100
NO,69.15685630975351,15.468119955206761,100
GL,74.77048769398986,-41.50018111492097,100
TF,-49.306454911671985,69.5315804704237,100
TL,-8.767760362467003,125.96630027368401,100
ZA,-28.947033259979115,25.048013879861678,100
LS,-29.625290493692013,28.170105295170494,100
MX,23.935371902244835,-102.5763495239869,100
UY,-32.780904365230825,-56.003278666548475,100
BR,-10.806773643498916,-53.05434003576711,100
BO,-16.72898701530584,-64.64140560603113,100
PE,-9.191562905134553,-74.39180581684722,100
CO,3.927213862709704,-73.07773208697478,100
PA,8.530019388864652,-80.10916483549376,100
CR,9.965671127464528,-84.17542309600948,100
NI,12.848190428036988,-85.02031850080252,100
HN,14.822947081652929,-86.58996383801542,100
SV,13.726091625794197,-88.87290317032377,100
GT,15.699360612026911,-90.36945836053154,100
BZ,17.197089911451545,-88.70342125299318,100
VE,7.162132267639002,-66.16382727830238,100
GY,4.790225375174759,-58.97120310856251,100
SR,4.1200080317588865,-55.91145629952073,100
FR,42.46070432663372,-2.8766966992706267,100
EC,-1.4547717055405804,-78.38416674608374,100
PR,18.2372245709719,-66.47922227695507,100
JM,18.137636127868436,-77.32425480164892,100
CU,21.631751541025228,-78.96068490970256,100
ZW,-18.906987947858802,29.788548371892524,100
BW,-22.099711378826413,23.773081465789428,100
NA,-22.099776931731068,17.156168126194093,100
SN,14.354139988452022,-14.50980278585943,100
ML,17.267772061700715,-3.543294339453343,100
MR,20.20926720635376,-10.326396925234992,100
BJ,9.647430780663699,2.337377553496156,100
NE,17.345552814745542,9.324427099857923,100
NG,9.548318418209965,7.995127754089786,100
